session_id,model,input_tokens,output_tokens,total_tokens
0002c3b18f844788aef010a91851d135,ark/deepseek-v3,2387,1165,3552
0002c3b18f844788aef010a91851d135,unknown,0,0,0
0007ac9703fe46548672ca3f139f6881,deepseek-chat,3183,1066,4249
0007ac9703fe46548672ca3f139f6881,unknown,0,0,0
000835145ea446e496b9a99cb69c3d23,deepseek-chat,670,348,1018
000835145ea446e496b9a99cb69c3d23,unknown,0,0,0
0009981e0e084199b980c9abbb0befdf,ark/deepseek-v3,1837,320,2157
0009981e0e084199b980c9abbb0befdf,unknown,0,0,0
0009ae8ff5a34612beed08b48927b4ae,ark/deepseek-v3-1,3380,1193,4573
0009ae8ff5a34612beed08b48927b4ae,unknown,0,0,0
000da65a0330441fbbd6f42b6bca8c97,deepseek-chat,561,206,767
000da65a0330441fbbd6f42b6bca8c97,unknown,0,0,0
000e8d6fe8934cf1895ff63b66a876a4,deepseek-chat,671,459,1130
000e8d6fe8934cf1895ff63b66a876a4,unknown,0,0,0
0012cd11a449400a8a9f8e39e62678f9,ark/deepseek-v3,2293,1032,3325
0012cd11a449400a8a9f8e39e62678f9,unknown,0,0,0
00184d539f1945afb95e3006e0e25f59,deepseek-chat,6309,1619,7928
00184d539f1945afb95e3006e0e25f59,unknown,0,0,0
0019f6bebc374c93b5e5d791004dd14a,ark/deepseek-v3,2312,314,2626
0019f6bebc374c93b5e5d791004dd14a,unknown,0,0,0
00224c91634a4841a707f60fc9fdcce2,ark/deepseek-v3,701,202,903
00224c91634a4841a707f60fc9fdcce2,unknown,0,0,0
002464c4b7ff442baa73a665004951ad,ark/deepseek-v3,1104,366,1470
002464c4b7ff442baa73a665004951ad,unknown,0,0,0
002514f6823e401c812efdf7f4f6e155,deepseek-chat,0,0,0
002514f6823e401c812efdf7f4f6e155,unknown,0,0,0
0027f2a65b6e458aafc0261962b3122d,ark/deepseek-v3,467,116,583
0027f2a65b6e458aafc0261962b3122d,unknown,0,0,0
002b0a23689545ee89ce7c8047008746,deepseek-chat,569,330,899
002b0a23689545ee89ce7c8047008746,unknown,0,0,0
002cb69f7e8746bea688eae357a76cc9,ark/deepseek-v3-1,1329,941,2270
002cb69f7e8746bea688eae357a76cc9,unknown,0,0,0
0034e16817ef47d192cc74fd7b14f779,ark/deepseek-v3,5507,1175,6682
0034e16817ef47d192cc74fd7b14f779,unknown,0,0,0
003b3b43dfe44216bd32612b76f36c42,deepseek-chat,3122,252,3374
003b3b43dfe44216bd32612b76f36c42,unknown,0,0,0
004173fba71e4780820da1fc314e897e,ark/deepseek-v3,10992,2244,13236
004173fba71e4780820da1fc314e897e,unknown,0,0,0
0043ba6946ad42ac96b2584945432942,deepseek-chat,1305,272,1577
0043ba6946ad42ac96b2584945432942,gpt-4.1,1608,196,1804
0043ba6946ad42ac96b2584945432942,unknown,0,0,0
00536282937f4e74a020adc683aecf79,deepseek-chat,2541,442,2983
00536282937f4e74a020adc683aecf79,unknown,0,0,0
0056958ffa0b40138be4e6b76bf84a32,unknown,0,0,0
00581c6def1e47789f9d39faa868a4e1,ark/deepseek-v3,6150,1645,7795
00581c6def1e47789f9d39faa868a4e1,gpt-4.1,657,31,688
00581c6def1e47789f9d39faa868a4e1,unknown,0,0,0
005acdc51e2645d8ab4759d7c467461d,ark/deepseek-v3,13442,2605,16047
005acdc51e2645d8ab4759d7c467461d,unknown,0,0,0
0060b82b71654a379e6ded5d63d621bf,deepseek-chat,1386,586,1972
0060b82b71654a379e6ded5d63d621bf,unknown,0,0,0
0073d6785b384ca296821ef43bb36a32,ark/deepseek-v3,701,201,902
0073d6785b384ca296821ef43bb36a32,unknown,0,0,0
00746779c7734688bdb2a4773cc5ccdc,ark/deepseek-v3,8056,471,8527
00746779c7734688bdb2a4773cc5ccdc,deepseek-chat,10245,180,10425
00746779c7734688bdb2a4773cc5ccdc,unknown,0,0,0
007f31a4a4d54a2e8e795e6c4018a396,deepseek-chat,2315,1135,3450
007f31a4a4d54a2e8e795e6c4018a396,unknown,0,0,0
0080da1213eb446cb51f3e92f76b36e1,ark/deepseek-v3,2344,1271,3615
0080da1213eb446cb51f3e92f76b36e1,unknown,0,0,0
00980f84ce7c4289b3d347f6a6f622cb,deepseek-chat,1457,318,1775
00980f84ce7c4289b3d347f6a6f622cb,unknown,0,0,0
