session_id,model,input_tokens,output_tokens,total_tokens
001d687df28648728f37d009e90f7259,deepseek-chat,2210,782,2992
001d687df28648728f37d009e90f7259,unknown,0,0,0
0024b828727741368ea433af204db23e,ark/deepseek-v3,1455,226,1681
0024b828727741368ea433af204db23e,unknown,0,0,0
003782570260418388038f8f11f9c8d5,ark/kimi-k2,28,19,47
0045ed89487e4b50937f2c810599b665,ark/deepseek-v3,1911,65,1976
0045ed89487e4b50937f2c810599b665,deepseek-chat,1985,369,2354
0045ed89487e4b50937f2c810599b665,unknown,0,0,0
004ee809022549ea9351327612276462,deepseek-chat,2742,1128,3870
004ee809022549ea9351327612276462,unknown,0,0,0
006f2a0cd6324f6ebfbf72f86e7c8d2c,unknown,0,0,0
00a3cf42919c4b17a13e4c332bb2c16c,ark/deepseek-v3,592,662,1254
0148637117314056bdcece4d179d9d51,ark/deepseek-v3,1485,749,2234
018f3722f0934a589b8c7dbde7489fff,deepseek-chat,4,609,613
018f3722f0934a589b8c7dbde7489fff,unknown,0,0,0
01ce513938b04be1bfc5d934272772cb,deepseek-chat,8,78,86
01ce513938b04be1bfc5d934272772cb,unknown,0,0,0
0202f31ebec940ed8603a2940cc13008,ark/deepseek-v3,6029,1683,7712
0202f31ebec940ed8603a2940cc13008,gpt-4.1,639,19,658
0202f31ebec940ed8603a2940cc13008,unknown,0,0,0
024981022d5e4ac0b59713cb2fc7223c,ark/deepseek-v3,561,207,768
024981022d5e4ac0b59713cb2fc7223c,unknown,0,0,0
0272d97ac927413b81a89a5cff7f843a,deepseek-chat,24,187,211
0272d97ac927413b81a89a5cff7f843a,unknown,0,0,0
02746ff77e984c27b62183c7cee1a000,deepseek-chat,172,436,608
02746ff77e984c27b62183c7cee1a000,unknown,0,0,0
0288b8c21dfe43369741d617be7f4bc6,ark/deepseek-v3,0,0,0
0288b8c21dfe43369741d617be7f4bc6,unknown,0,0,0
0288d4e487f948dca766e757d7eac36e,deepseek-chat,571,1126,1697
0288d4e487f948dca766e757d7eac36e,unknown,0,0,0
02b55b24b46a4b568f09e035ad1478f3,unknown,0,0,0
031b99485aaa4559ab340b1f528ef0fc,deepseek-chat,701,174,875
031b99485aaa4559ab340b1f528ef0fc,unknown,0,0,0
03692c14c59d4994a1ce3f93a2701136,unknown,0,0,0
037436d84f5a452d9f7f6bfb1ea51067,unknown,0,0,0
0377974f280640a7aab17c5d37f6e40d,unknown,0,0,0
0385bc3f2a82472ea275f137272238d7,ark/deepseek-v3,9551,2685,12236
0385bc3f2a82472ea275f137272238d7,unknown,0,0,0
038ca098f2254c3da662719207ecf88a,ark/deepseek-v3,196,552,748
038ecbb3ed1e48cd8d6234bd6ff625f3,deepseek-chat,15,927,942
038ecbb3ed1e48cd8d6234bd6ff625f3,unknown,0,0,0
039d477efac44cd8af0656fe47c4de50,ark/deepseek-v3,1485,564,2049
03a46d2099ca45068f8971e059513472,unknown,0,0,0
03cddf7ee11b4112abec9fb59bab6269,unknown,0,0,0
03d2bfbad5e94e2ab1aba10e7062b30a,ark/deepseek-v3,3439,1108,4547
03d2bfbad5e94e2ab1aba10e7062b30a,gpt-4.1,4137,818,4955
03d2bfbad5e94e2ab1aba10e7062b30a,unknown,0,0,0
040d09efc4fd49ed9c0b37a68d7d3cb6,unknown,0,0,0
046047365c4c45339e6e86eed6371b7b,ark/deepseek-v3,1479,432,1911
046047365c4c45339e6e86eed6371b7b,unknown,0,0,0
049c5ec45c0d4523bf04495170ecc29e,ark/deepseek-v3,758,112,870
049c5ec45c0d4523bf04495170ecc29e,unknown,0,0,0
05082915c2734be39d7a9fe1f88e4b38,ark/kimi-k2,78,266,344
051e4f4d22084a93b39e624ae39bc341,ark/deepseek-v3,465,108,573
0550425d16e74effbab2b04e30fb1078,deepseek-chat,865,455,1320
0550425d16e74effbab2b04e30fb1078,unknown,0,0,0
058cf41a88484324ba3875cf43cb8fb2,ark/deepseek-v3,4738,1428,6166
058cf41a88484324ba3875cf43cb8fb2,unknown,0,0,0
05929eb5ffc04b459b90b4f8ec8b83e8,ark/kimi-k2,726,283,1009
05929eb5ffc04b459b90b4f8ec8b83e8,gpt-4.1,2116,123,2239
05929eb5ffc04b459b90b4f8ec8b83e8,unknown,0,0,0
05c05f41366a449a86c883e7c5c65139,deepseek-chat,2820,510,3330
05c05f41366a449a86c883e7c5c65139,unknown,0,0,0
05e4786ffbab4f8b9c2f4bbacd04f5a1,deepseek-chat,4,11,15
05e4786ffbab4f8b9c2f4bbacd04f5a1,unknown,0,0,0
0605efa1a71a4cb7a02f4e433395e0a9,unknown,0,0,0
06311e1b7926450d8b5f53471d9d5722,deepseek-chat,1251,114,1365
06311e1b7926450d8b5f53471d9d5722,unknown,0,0,0
066165e581644b089547eb934f39e49a,unknown,0,0,0
0674afe9f7274eba913ee83ea036a82f,unknown,0,0,0
069294d4c51e4752aa04da14af476276,deepseek-chat,83,274,357
069294d4c51e4752aa04da14af476276,unknown,0,0,0
06bc921cf90743109f313b7880a4e698,unknown,0,0,0
06fe1a4f42b2448c8b531b6638ffbb73,unknown,0,0,0
07008b97ebff4575a09517fc69d7a41c,ark/deepseek-v3,596,183,779
070fee8da61940c3a0acc2c550d0c749,deepseek-chat,17836,5998,23834
070fee8da61940c3a0acc2c550d0c749,unknown,0,0,0
07705f46ad6e4630b6b6d1d993e0bb4b,deepseek-chat,12,669,681
07705f46ad6e4630b6b6d1d993e0bb4b,unknown,0,0,0
077b3650e0a5423ea88b4874730ed588,deepseek-chat,1352,542,1894
077b3650e0a5423ea88b4874730ed588,unknown,0,0,0
07c9fdb9f07c44d9b6a8ec9c5926f5a1,deepseek-chat,828,939,1767
07c9fdb9f07c44d9b6a8ec9c5926f5a1,unknown,0,0,0
07d63ade54444ce6a1bd188678cfb37d,deepseek-chat,2244,288,2532
07d63ade54444ce6a1bd188678cfb37d,unknown,0,0,0
07fb49e6312943f59a0d843fa64f0b3f,ark/kimi-k2,668,423,1091
083bb53e8d19459fb4a77db73b5c5077,unknown,0,0,0
0873cbcb2d4b42d8a56c8a12b4f1885b,unknown,0,0,0
08a6cf2c5b6d460e92ac84fd07d7449d,deepseek-chat,4,15,19
